XTSOL|p_id|p_model|p_stock|p_shipping|gm_show_qty_info|p_status|p_startpage|p_sorting|p_startpage_sort
XTSOL|102|1001001|0|9|0|1|0|None|None
XTSOL|103|1001002|0|2|1|0|0|None|None
XTSOL|105|1003002|0|2|1|0|0|None|None
XTSOL|106|1003003|0|2|1|0|0|None|None
XTSOL|107|1004001|0|2|1|0|0|None|None
XTSOL|110|1005002|0|2|1|0|0|None|None
XTSOL|111|1001009|0|9|0|1|0|None|None
XTSOL|112|1005004|0|2|1|0|0|None|None
XTSOL|113|1005005|0|2|1|0|0|None|None
XTSOL|114|1005006|0|2|1|0|0|None|None
XTSOL|115|1005007|0|2|1|0|0|None|None
XTSOL|116|1005008|0|2|1|0|0|None|None
XTSOL|117|1005009|0|2|1|0|0|None|None
XTSOL|118|1005010|0|2|1|0|0|None|None
XTSOL|119|1005011|0|2|1|0|0|None|None
XTSOL|120|1005012|0|2|1|0|0|None|None
XTSOL|121|1005013|0|2|1|0|0|None|None
XTSOL|122|1005014|0|2|1|0|0|None|None
XTSOL|123|1005015|0|2|1|0|0|None|None
XTSOL|124|1005016|0|2|1|0|0|None|None
XTSOL|135|1008001|0|2|1|0|0|None|None
XTSOL|136|1008002|0|2|1|0|0|None|None
XTSOL|137|1008003|0|9|0|1|0|None|None
XTSOL|138|1008004|0|2|1|0|0|None|None
XTSOL|139|1008005|0|2|1|0|0|None|None
XTSOL|140|1008006|0|2|1|0|0|None|None
XTSOL|141|1008007|0|2|1|0|0|None|None
XTSOL|146|1009005|0|2|1|0|0|None|None
XTSOL|149|1011001|100|2|0|1|0|None|None
XTSOL|150|1011002|100|2|0|1|0|None|None
XTSOL|152|1015001|100|2|0|1|0|None|None
XTSOL|153|1015002|0|2|1|0|0|None|None
XTSOL|154|1015003|100|2|0|1|0|None|None
XTSOL|155|1015004|100|2|0|1|0|None|None
XTSOL|156|1600003|0|2|1|0|0|None|None
XTSOL|159|1102001|100|2|0|1|0|None|None
XTSOL|160|1102002|0|9|0|1|0|None|None
XTSOL|161|1102003|10|2|0|1|0|None|None
XTSOL|162|1102004|50|2|0|1|0|None|None
XTSOL|163|1102005|10|2|0|1|0|None|None
XTSOL|164|1102006|50|2|0|1|0|None|None
XTSOL|165|1102007|50|2|0|1|0|None|None
XTSOL|166|1104001|100|2|0|1|0|None|None
XTSOL|167|1104002|100|2|0|1|0|None|None
XTSOL|169|1104004|10|2|0|1|0|None|None
XTSOL|170|1105001|100|2|0|1|0|None|None
XTSOL|171|1105002|10|2|0|1|0|None|None
XTSOL|172|1105003|100|2|0|1|0|None|None
XTSOL|173|1105004|100|2|0|1|0|None|None
XTSOL|175|1105006|50|2|0|1|0|None|None
XTSOL|177|1105008|100|2|0|1|0|None|None
XTSOL|178|1105009|100|2|0|1|0|None|None
XTSOL|179|1502001|100|2|0|1|0|None|None
XTSOL|180|1105011|100|2|0|1|0|None|None
XTSOL|181|1105012|100|2|0|1|0|None|None
XTSOL|182|1105013|100|2|0|1|0|None|None
XTSOL|183|1105014|100|2|0|1|0|None|None
XTSOL|184|1105015|100|2|0|1|0|None|None
XTSOL|185|1105016|100|2|0|1|0|None|None
XTSOL|186|1105017|100|2|0|1|0|None|None
XTSOL|187|1105018|50|2|0|1|0|None|None
XTSOL|188|1105019|100|2|0|1|0|None|None
XTSOL|189|1105020|100|2|0|1|0|None|None
XTSOL|190|1310016|0|2|1|0|0|None|None
XTSOL|191|1310015|0|2|1|0|0|None|None
XTSOL|192|1310014|0|2|1|0|0|None|None
XTSOL|193|1310013|0|2|1|0|0|None|None
XTSOL|194|1310012|0|2|1|0|0|None|None
XTSOL|195|1310011|0|2|1|0|0|None|None
XTSOL|196|1310010|0|9|0|1|0|None|None
XTSOL|197|1310009|0|2|1|0|0|None|None
XTSOL|198|1310008|0|2|1|0|0|None|None
XTSOL|199|1310007|0|9|0|1|0|None|None
XTSOL|200|1310006|0|2|1|0|0|None|None
XTSOL|201|1310005|0|2|1|0|0|None|None
XTSOL|202|1310004|0|2|1|0|0|None|None
XTSOL|203|1310003|0|2|1|0|0|None|None
XTSOL|204|1310002|0|2|1|0|0|None|None
XTSOL|205|1310001|0|2|1|0|0|None|None
XTSOL|206|1309008|0|2|1|0|0|None|None
XTSOL|207|1106013|100|2|0|1|0|None|None
XTSOL|208|1309002|0|2|1|0|0|None|None
XTSOL|209|1309001|0|2|1|0|0|None|None
XTSOL|210|1308005|0|2|1|0|0|None|None
XTSOL|211|1308004|0|2|1|0|0|None|None
XTSOL|212|1308003|0|9|0|1|0|None|None
XTSOL|213|1308002|0|9|0|1|0|None|None
XTSOL|214|1308001|0|2|1|0|0|None|None
XTSOL|219|1107002|10|2|0|1|0|None|None
XTSOL|220|1306019|0|9|0|1|0|None|None
XTSOL|221|1108002|100|2|0|1|0|None|None
XTSOL|222|1305004|0|2|1|0|0|None|None
XTSOL|223|1305003|0|2|1|0|0|None|None
XTSOL|224|1305002|0|2|1|0|0|None|None
XTSOL|225|1305001|0|2|1|0|0|None|None
XTSOL|226|1304006|0|2|1|0|0|None|None
XTSOL|227|1304005|0|2|1|0|0|None|None
XTSOL|228|1304004|0|2|1|0|0|None|None
XTSOL|229|1304003|0|2|1|0|0|None|None
XTSOL|230|1304002|0|2|1|0|0|None|None
XTSOL|231|1304014|0|2|1|0|0|None|None
XTSOL|232|1303005|0|9|0|1|0|None|None
XTSOL|233|1303004|0|9|0|1|0|None|None
XTSOL|234|1303003|0|9|0|1|0|None|None
XTSOL|235|1110006|100|2|0|1|0|None|None
XTSOL|236|1303001|0|9|0|1|0|None|None
XTSOL|237|1302020|0|2|1|0|0|None|None
XTSOL|238|1302019|0|2|1|0|0|None|None
XTSOL|239|1302018|0|2|1|0|0|None|None
XTSOL|240|1302017|0|2|1|0|0|None|None
XTSOL|242|1302015|0|2|1|0|0|None|None
XTSOL|243|1302014|0|2|1|0|0|None|None
XTSOL|244|1302013|0|2|1|0|0|None|None
XTSOL|245|1302012|0|2|1|0|0|None|None
XTSOL|246|1302011|0|2|1|0|0|None|None
XTSOL|247|1302010|0|2|1|0|0|None|None
XTSOL|248|1302009|0|2|1|0|0|None|None
XTSOL|249|1302008|0|2|1|0|0|None|None
XTSOL|250|1302007|0|2|1|0|0|None|None
XTSOL|251|1302006|0|2|1|0|0|None|None
XTSOL|252|1302005|0|2|1|0|0|None|None
XTSOL|253|1114007|50|2|0|1|0|None|None
XTSOL|254|1114008|100|2|0|1|0|None|None
XTSOL|255|1302002|0|2|1|0|0|None|None
XTSOL|256|1302001|0|2|1|0|0|None|None
XTSOL|258|1301006|0|9|0|1|0|None|None
XTSOL|259|1115002|50|2|0|1|0|None|None
XTSOL|260|1301004|0|9|0|1|0|None|None
XTSOL|262|1301002|0|9|0|1|0|None|None
XTSOL|263|1301001|0|9|0|1|0|None|None
XTSOL|264|1206005|0|2|1|0|0|None|None
XTSOL|265|1206004|0|2|1|0|0|None|None
XTSOL|266|1116003|100|2|0|1|0|None|None
XTSOL|267|1116004|100|2|0|1|0|None|None
XTSOL|268|1116005|100|2|0|1|0|None|None
XTSOL|269|1116006|100|2|0|1|0|None|None
XTSOL|270|1116007|100|2|0|1|0|None|None
XTSOL|272|1201003|0|2|1|0|0|None|None
XTSOL|274|1201001|0|2|1|0|1|None|None
XTSOL|275|1116034|0|2|1|0|0|None|None
XTSOL|276|1116033|0|2|1|0|0|None|None
XTSOL|284|1116025|100|2|0|1|0|None|None
XTSOL|285|1116024|10|2|0|1|0|None|None
XTSOL|286|1116023|100|2|0|1|0|None|None
XTSOL|287|1013024|100|2|0|1|0|None|None
XTSOL|288|1013025|100|2|0|1|0|None|None
XTSOL|307|1013026|100|2|0|1|0|None|None
XTSOL|308|1013027|100|2|0|1|0|None|None
XTSOL|309|1013028|50|2|0|1|0|None|None
XTSOL|311|1013030|100|2|0|1|0|None|None
XTSOL|312|1013031|100|2|0|1|0|None|None
XTSOL|313|1013032|100|2|0|1|0|None|None
XTSOL|315|2004131|100|2|0|1|0|None|None
XTSOL|328|1115022|100|2|0|1|0|None|None
XTSOL|329|1115021|100|2|0|1|0|None|None
XTSOL|330|1115020|100|2|0|1|0|None|None
XTSOL|333|1015013|100|2|0|1|0|None|None
XTSOL|334|1015014|100|2|0|1|0|None|None
XTSOL|335|1015015|100|2|0|1|0|None|None
XTSOL|336|1015016|100|2|0|1|0|None|None
XTSOL|337|1015017|100|2|0|1|0|None|None
XTSOL|338|1115012|10|2|0|1|0|None|None
XTSOL|339|1115011|0|2|1|0|0|None|None
XTSOL|340|1115010|10|2|0|1|0|None|None
XTSOL|341|1115009|100|2|0|1|0|None|None
XTSOL|342|1115008|0|2|1|0|0|None|None
XTSOL|343|1015023|100|2|0|1|0|None|None
XTSOL|344|1015024|100|2|0|1|0|None|None
XTSOL|345|1015025|100|2|0|1|0|None|None
XTSOL|346|1115004|0|2|1|0|0|None|None
XTSOL|347|1115003|0|2|1|0|0|None|None
XTSOL|349|1115001|100|2|0|1|0|None|None
XTSOL|351|1114023|0|2|1|0|0|None|None
XTSOL|352|1114022|100|2|0|1|0|None|None
XTSOL|353|1114021|100|2|0|1|0|None|None
XTSOL|354|1114020|100|2|0|1|0|None|None
XTSOL|355|1114019|0|2|1|0|0|None|None
XTSOL|356|1114018|100|2|0|1|0|None|None
XTSOL|357|1114017|100|2|0|1|0|None|None
XTSOL|358|1114016|100|2|0|1|0|None|None
XTSOL|359|1114015|100|2|0|1|0|None|None
XTSOL|360|1114025|100|2|0|1|0|None|None
XTSOL|363|1114011|100|2|0|1|0|None|None
XTSOL|364|1114010|100|2|0|1|0|None|None
XTSOL|365|1114009|100|2|0|1|0|None|None
XTSOL|368|1114006|100|2|0|1|0|None|None
XTSOL|369|1019003|100|2|0|1|0|None|None
