p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
102,1001001,0,9,0,1,0,None,None
103,1001002,0,2,1,0,0,None,None
105,1003002,0,2,1,0,0,None,None
106,1003003,0,2,1,0,0,None,None
107,1004001,0,2,1,0,0,None,None
110,1005002,0,2,1,0,0,None,None
111,1001009,0,9,0,1,0,None,None
112,1005004,0,2,1,0,0,None,None
113,1005005,0,2,1,0,0,None,None
114,1005006,0,2,1,0,0,None,None
115,1005007,0,2,1,0,0,None,None
116,1005008,0,2,1,0,0,None,None
117,1005009,0,2,1,0,0,None,None
118,1005010,0,2,1,0,0,None,None
119,1005011,0,2,1,0,0,None,None
120,1005012,0,2,1,0,0,None,None
121,1005013,0,2,1,0,0,None,None
122,1005014,0,2,1,0,0,None,None
123,1005015,0,2,1,0,0,None,None
124,1005016,0,2,1,0,0,None,None
135,1008001,0,2,1,0,0,None,None
136,1008002,0,2,1,0,0,None,None
137,1008003,0,9,0,1,0,None,None
138,1008004,0,2,1,0,0,None,None
139,1008005,0,2,1,0,0,None,None
140,1008006,0,2,1,0,0,None,None
141,1008007,0,2,1,0,0,None,None
146,1009005,0,2,1,0,0,None,None
149,1011001,100,2,0,1,0,None,None
150,1011002,100,2,0,1,0,None,None
152,1015001,100,2,0,1,0,None,None
153,1015002,0,2,1,0,0,None,None
154,1015003,100,2,0,1,0,None,None
155,1015004,100,2,0,1,0,None,None
156,1600003,0,2,1,0,0,None,None
159,1102001,100,2,0,1,0,None,None
160,1102002,0,9,0,1,0,None,None
161,1102003,10,2,0,1,0,None,None
162,1102004,50,2,0,1,0,None,None
163,1102005,10,2,0,1,0,None,None
164,1102006,50,2,0,1,0,None,None
165,1102007,50,2,0,1,0,None,None
166,1104001,100,2,0,1,0,None,None
167,1104002,100,2,0,1,0,None,None
169,1104004,10,2,0,1,0,None,None
170,1105001,100,2,0,1,0,None,None
171,1105002,10,2,0,1,0,None,None
172,1105003,100,2,0,1,0,None,None
